0001	3.4
0002	4.1
0004	3.23
0005	3.34
0006	3.5
0008	4.3
0009	4.7
0010	4.3
0011	3.3
0012	4.06
0013	4.9
0014	3.975
0015	10.3
0016	8.8
0017	9.1
0018	16.7
0022	7.6
0023	4.06
0024	3.87
0025	3.2
0027	17.0
0028	17.0
0029	22.0
0030	3.34
0031	3.1
0032	3.49
0033	3.2
0034	3.28
0035	3.49
0036	3.1
0037	3.34
0038	3.2
0039	3.4
0040	3.4
0041	3.9
0042	3.3
0044	4.9
0047	4.4
0048	3.9
0049	4.0
0051	4.2
0052	4.4
0054	3.0
0055	4.3
0056	3.75
0061	3.91
0063	4.07
0064	3.63
0065	3.27
0069	2.8
0076	3.8
0077	3.2
0078	8.0
0080	3.8
0081	3.9
0082	3.9
0083	4.4
0088	4.0
0089	3.28
0090	5.1
0091	4.8
0092	6.7
0095	3.6
0096	4.4
0097	3.0
0098	3.6
0099	3.6
0100	3.5
0101	3.28
0102	28.0
0104	4.57
0105	4.13
0106	5.6
0107	5.6
0109	5.9
0110	4.9
0111	4.7
0112	4.9
0113	4.4
0117	30.0
0127	6.25
0128	3.8
0129	3.28
0130	6.6
0133	3.5
0134	3.7
0135	4.2
0136	3.25
0137	3.0
0139	7.9
0143	4.02
0144	1.65
0145	4.16
0146	3.6
0147	4.6
0148	3.4
0149	3.95
0150	3.72
0152	3.10945
0153	1.89834
0154	11.4
0155	11.8
0156	8.7
0157	9.1
0158	9.4
0159	8.9
0160	8.9
0161	37.0
0164	4.0
0165	3.7
0166	4.5
0167	8.3
0168	9.7
0169	7.9
0170	22.0
0171	24.0
0173	3.97
0176	3.1
0177	3.5
0180	2.78
0190	3.09
0192	3.9
0194	3.8
0195	6.8
0196	3.58
0197	6.5
0199	3.1
0200	3.8
0201	4.8
0202	3.4
0203	6.7
0209	4.85
0210	4.12
0211	3.69
0212	6.86
0213	6.35
0214	7.04
0215	6.95
0216	6.95
0218	11.0
0219	16.0
0220	12.0
0221	12.0
0222	14.0
0223	14.0
0224	14.0
0225	4.1
0226	4.2
0227	3.2
0228	4.5
0229	7.8
0230	3.37
0231	3.39
0232	3.27
0233	3.08
0234	3.3
0235	3.3
0236	4.1
0237	4.2
0243	2.65
0245	4.8
0246	4.2
0247	3.2
0249	12.13
0250	10.7
0251	7.1
0253	4.5
0254	4.6
0255	4.8
0256	7.6
0257	3.7
0258	4.0
0259	3.2
0260	3.3
0261	2.96
0262	3.31
0263	2.18
0268	3.38
0269	3.31
0271	2.66
0272	2.64
0273	2.8
0275	3.1
0279	3.04
0280	3.69
0281	3.34
0282	3.26
0283	3.58
0287	4.4
0288	4.98
0289	3.3
0290	7.2
0291	6.6
0292	7.2
0293	8.6
0308	3.9
0309	4.4
0322	3.2
0328	4.3
0329	7.8
0330	4.4
0332	3.4
0335	3.0
0375	7.7
0376	9.3
0377	9.3
0413	50.0
0414	50.0
0440	4.1
1001	40
1003	11.5
1004	13
1005	14
1006	11.3
1007	12.9
1008	10.9
1009	10.9
1010	12.9
1011	16
1012	13.4
1013	14
1014	12
1015	9.0
1016	25
1017	26
1018	9.0
1019	7.5
1020	10
1021	10
1022	34.5
1023	42.2
1024	29
1027	25
1028	25
1029	25
1030	25
1031	25
1032	25
1033	25
1034	25
1035	25
1036	25
1037	25
1038	25
1039	25
1040	25
1041	25
1042	10.3
1043	9.7
1044	4.0
1045	16.8
1046	23.5
1047	14.9
1048	12.0
1049	16
1050	25
1051	30
1052	30
1053	20
1054	27.5
1055	9
1056	9
1057	16
1058	18
1059	11.0
1060	6.8
1061	15
1062	30
1063	12.0
1064	17.9
1065	17.5
1066	40.0
1067	11.7
1068	13.4
1069	21
1070	13.4
1071	13.2
1072	16
1073	16
1074	21.0
1075	22.5
1076	15.4
1077	12
1078	14.9
1079	5.5
1080	11.5
1081	6
1082	8.4
1083	12.3
1084	13
1085	13.4
1086	16
1087	7.5
1088	9.5
1089	18
1090	20.3
1091	17.3
1092	25.3
1093	18.3
1094	10.5
1095	25
1096	13.4
1097	85
1098	6.5
1099	22
1100	17.0
1101	9.5
