ID,vdw,vdw_attr,vdw_rep,elec,elec_sr_attr,elec_lr_attr,elec_sr_rep,elec_lr_rep,hbp_ss,solv,sasa,acp,RMSD
1A2K,46,-62.45,3535.69,720.24,-625.84,-3265.13,564.82,3333.25,-1.45,-78.95,-178.09,-2.8,2.42
1A2K,38,-53.32,2093.68,711.58,-478.44,-3219.57,445.6,3205.24,-1.37,-69,-178.75,-3.01,2.42
1A2K,34,-51.67,1910.54,654,-433.7,-3088.11,382.7,3148.82,-4.84,-62.6,-181.15,-7.33,2.49
1A2K,118,-117,7582.61,798.81,-998.35,-3538.35,974.27,3527.62,-6.43,-166.45,-191.9,-19.81,2.43
1A2K,28,-48.26,2744.37,677.86,-467.62,-3030.11,468.59,3032.1,-2.37,-59.66,-184.63,-2.59,2.4
1A2K,33,-54.33,2112.95,689.46,-440.49,-3226.14,410.51,3246.75,-1.61,-65.91,-180.3,-4.99,2.27
1A2K,59,-65.12,5047.69,716.96,-609.86,-3313.23,558.87,3354.69,-2.83,-102.95,-178.27,-7.3,2.02
1A2K,51,-61.73,2833.99,698.33,-574.98,-3173.84,533.08,3315.66,-1.32,-82.11,-179.07,-7.15,2.42
1A2K,63,-65.92,3442.63,702.19,-608.37,-3202.82,577.39,3337.44,-1.37,-87.97,-180.88,-8.69,2.45
1A2K,55,-70.68,3431.4,725.35,-660.14,-3308.74,607.96,3447.91,-3.98,-94.28,-176.77,-7.09,2.44
1A2K,61,-56.79,4426.44,687.7,-557.8,-3134.86,523.54,3225.92,-0.75,-87.53,-180.72,-7.74,1.99
1A2K,116,-89.33,5879.33,757.38,-946.64,-3384.78,929.33,3385.57,-5.21,-136.94,-184.6,-13.33,1.78
1A2K,34,-42.89,3427.48,618.98,-444.35,-2807.81,429.37,2797.91,-1.94,-59.26,-185.56,-1.14,2.3
1A2K,97,-85.29,5737.62,738.39,-906.83,-3360.58,862.35,3386.16,-5.64,-140.07,-185.4,-12.47,1.61
1A2K,63,-55.6,3720.43,720.63,-558.78,-3233.4,581.47,3182.24,-3.93,-77.32,-181.8,-4.32,2.47
1A2K,117,-96.57,6075.52,772.81,-1130.22,-3395.32,1107.24,3465.34,-7.33,-149.24,-182.07,-11.65,1.95
1A2K,93,-75.12,7432.61,747.86,-892.69,-3359.09,827.78,3470.19,-4.33,-136.41,-176.76,-5.13,2.11
1A2K,109,-93.13,7024.73,768.67,-883.42,-3393.35,890.56,3400.94,-5.71,-134,-186.23,-15.47,1.88
1A2K,114,-88.59,8443.51,783.99,-1054.54,-3515.99,969.72,3589.92,-5.93,-141.65,-174.11,-4.16,2.3
1A2K,102,-82.52,7374.86,789.61,-1012.28,-3434.89,937.44,3525.78,-4.43,-136.58,-174.21,-1.18,2.45
1A2K,135,-103.56,8597.45,784.03,-1248.11,-3399.81,1204.98,3462.89,-8.11,-194.5,-185.35,-12.74,2.01
1A2K,114,-95.51,7761.84,786.35,-870.5,-3513.91,860,3508.21,-6.15,-146.31,-184.31,-15.82,1.87
1A2K,101,-84.72,5989.29,774.68,-929.85,-3269.75,950.43,3336.49,-4.68,-133.86,-184.66,-10.59,1.94
1A2K,117,-94.47,7260.32,745.13,-948.17,-3366.59,952.09,3398.87,-4.09,-148.16,-185.95,-15.04,1.69
1A2K,53,-54.11,5448.12,653.8,-664.67,-2974.71,662.36,2940.47,-5.87,-88.56,-186.17,-1.94,2.36
1A2K,128,-105.15,7115.28,802.55,-1062.31,-3587.55,1083.98,3591.79,-6.66,-169.62,-180.59,-14.68,1.94
1A2K,125,-88.72,7384.66,732.26,-990.81,-3227.04,982.34,3336.85,-4.36,-142.8,-185.24,-12.82,1.82
1A2K,112,-91.05,8525.5,746.88,-986.86,-3394.79,967.08,3483.96,-6.03,-176.43,-183.75,-11.91,1.76
1A2K,164,-113.36,10660.32,782.36,-1404.47,-3420.27,1352.18,3611.7,-9.1,-198.43,-181.87,-12.01,2.15
1A2K,113,-91.54,9023.9,760.24,-1063.98,-3412.13,1015.08,3480.31,-8.62,-156.58,-177.68,-5.83,2.33
1A2K,115,-98.98,8945.15,813,-1044.14,-3488.76,1056.02,3516.22,-8.08,-163.94,-181.92,-11.75,2.11
1A2K,120,-89.81,8949.17,756.88,-992.73,-3425.54,994.39,3461.72,-6.17,-144.37,-185.46,-11.82,1.66
1A2K,151,-110.16,13267.03,824.03,-1448.96,-3505.81,1396,3535.85,-7.04,-211.86,-180.44,-10.07,2.3
1A2K,84,-94.28,7672.48,787.32,-1212.75,-2080.31,1144.24,2327.06,-8.35,-141.67,-166.41,-2.19,18.03
1A2K,71,-53.92,3697.66,746.75,-358.27,-2795.69,324.54,2906.83,-1.19,-56.16,-191.73,-8.57,13.75
1A2K,46,-63.27,1869.15,590.38,-787.6,-2510.06,762.01,2508.21,-6.44,-84.05,-200.66,3.44,10.45
1A2K,51,-63.99,2589.86,773.58,-756.64,-2388.15,738.71,2497.2,-2.63,-88.44,-184.77,-12.96,17.63
1A2K,43,-55.39,3371.4,740.77,-707.46,-2303.09,712.54,2448.19,-4.1,-74.4,-192.16,-11.11,13.5
1A2K,67,-69.84,3567.91,686.88,-558.24,-3047.15,572.86,3133.62,-2.94,-89.64,-188.67,-11.41,12.52
1A2K,17,-41.84,475.89,664.24,-395.47,-2335.5,347.87,2523.61,-2.87,-45.55,-180.87,-8.44,11.63
1A2K,33,-41.39,462.18,719.47,-119.74,-2909.25,135.59,2929.01,0,-36.65,-199.74,-6.35,12.43
1A2K,33,-45.25,1688.56,640.51,-267.94,-2673.73,246.88,2817.04,-2.45,-53.05,-201.28,-3.69,12.33
1A2K,24,-43.14,336.63,540.62,-392.16,-2807.62,380.53,2808.71,-2.9,-48.82,-196.01,-5.72,12.21
1A2K,30,-28.99,1256.54,491.29,-60.26,-2297.84,32.92,2253.64,-0.41,-29.36,-204.42,-6.7,15.79
1A2K,56,-66.29,2939.6,746.76,-855.85,-3256.45,801.55,3209.29,-2.29,-96.37,-177.79,-2.7,3.79
