ID,vdw,vdw_attr,vdw_rep,elec,elec_sr_attr,elec_lr_attr,elec_sr_rep,elec_lr_rep,hbp_ss,solv,sasa,acp,RMSD
1A2K,46,-62.45,3535.69,720.24,-625.84,-3265.13,564.82,3333.25,-1.45,-78.95,-178.09,-2.8,2.42
1A2K,38,-53.32,2093.68,711.58,-478.44,-3219.57,445.6,3205.24,-1.37,-69,-178.75,-3.01,2.42
1A2K,34,-51.67,1910.54,654,-433.7,-3088.11,382.7,3148.82,-4.84,-62.6,-181.15,-7.33,2.49
1A2K,118,-117,7582.61,798.81,-998.35,-3538.35,974.27,3527.62,-6.43,-166.45,-191.9,-19.81,2.43
1A2K,28,-48.26,2744.37,677.86,-467.62,-3030.11,468.59,3032.1,-2.37,-59.66,-184.63,-2.59,2.4
1A2K,33,-54.33,2112.95,689.46,-440.49,-3226.14,410.51,3246.75,-1.61,-65.91,-180.3,-4.99,2.27
1A2K,59,-65.12,5047.69,716.96,-609.86,-3313.23,558.87,3354.69,-2.83,-102.95,-178.27,-7.3,2.02
1A2K,51,-61.73,2833.99,698.33,-574.98,-3173.84,533.08,3315.66,-1.32,-82.11,-179.07,-7.15,2.42
1A2K,63,-65.92,3442.63,702.19,-608.37,-3202.82,577.39,3337.44,-1.37,-87.97,-180.88,-8.69,2.45
1A2K,55,-70.68,3431.4,725.35,-660.14,-3308.74,607.96,3447.91,-3.98,-94.28,-176.77,-7.09,2.44
1A2K,61,-56.79,4426.44,687.7,-557.8,-3134.86,523.54,3225.92,-0.75,-87.53,-180.72,-7.74,1.99
1A2K,116,-89.33,5879.33,757.38,-946.64,-3384.78,929.33,3385.57,-5.21,-136.94,-184.6,-13.33,1.78
1A2K,34,-42.89,3427.48,618.98,-444.35,-2807.81,429.37,2797.91,-1.94,-59.26,-185.56,-1.14,2.3
1A2K,97,-85.29,5737.62,738.39,-906.83,-3360.58,862.35,3386.16,-5.64,-140.07,-185.4,-12.47,1.61
1A2K,63,-55.6,3720.43,720.63,-558.78,-3233.4,581.47,3182.24,-3.93,-77.32,-181.8,-4.32,2.47
1A2K,117,-96.57,6075.52,772.81,-1130.22,-3395.32,1107.24,3465.34,-7.33,-149.24,-182.07,-11.65,1.95
1A2K,93,-75.12,7432.61,747.86,-892.69,-3359.09,827.78,3470.19,-4.33,-136.41,-176.76,-5.13,2.11
1A2K,109,-93.13,7024.73,768.67,-883.42,-3393.35,890.56,3400.94,-5.71,-134,-186.23,-15.47,1.88
1A2K,114,-88.59,8443.51,783.99,-1054.54,-3515.99,969.72,3589.92,-5.93,-141.65,-174.11,-4.16,2.3
1A2K,102,-82.52,7374.86,789.61,-1012.28,-3434.89,937.44,3525.78,-4.43,-136.58,-174.21,-1.18,2.45
1A2K,135,-103.56,8597.45,784.03,-1248.11,-3399.81,1204.98,3462.89,-8.11,-194.5,-185.35,-12.74,2.01
1A2K,114,-95.51,7761.84,786.35,-870.5,-3513.91,860,3508.21,-6.15,-146.31,-184.31,-15.82,1.87
1A2K,101,-84.72,5989.29,774.68,-929.85,-3269.75,950.43,3336.49,-4.68,-133.86,-184.66,-10.59,1.94
1A2K,117,-94.47,7260.32,745.13,-948.17,-3366.59,952.09,3398.87,-4.09,-148.16,-185.95,-15.04,1.69
1A2K,53,-54.11,5448.12,653.8,-664.67,-2974.71,662.36,2940.47,-5.87,-88.56,-186.17,-1.94,2.36
1A2K,128,-105.15,7115.28,802.55,-1062.31,-3587.55,1083.98,3591.79,-6.66,-169.62,-180.59,-14.68,1.94
1A2K,125,-88.72,7384.66,732.26,-990.81,-3227.04,982.34,3336.85,-4.36,-142.8,-185.24,-12.82,1.82
1A2K,112,-91.05,8525.5,746.88,-986.86,-3394.79,967.08,3483.96,-6.03,-176.43,-183.75,-11.91,1.76
1A2K,164,-113.36,10660.32,782.36,-1404.47,-3420.27,1352.18,3611.7,-9.1,-198.43,-181.87,-12.01,2.15
1A2K,113,-91.54,9023.9,760.24,-1063.98,-3412.13,1015.08,3480.31,-8.62,-156.58,-177.68,-5.83,2.33
1A2K,115,-98.98,8945.15,813,-1044.14,-3488.76,1056.02,3516.22,-8.08,-163.94,-181.92,-11.75,2.11
1A2K,120,-89.81,8949.17,756.88,-992.73,-3425.54,994.39,3461.72,-6.17,-144.37,-185.46,-11.82,1.66
1A2K,151,-110.16,13267.03,824.03,-1448.96,-3505.81,1396,3535.85,-7.04,-211.86,-180.44,-10.07,2.3
1A2K,50,-61.14,3593,715.99,-568.77,-3491.04,553.12,3656.77,-4.24,-90.04,-179.47,9.32,7.96
1A2K,24,-59.6,1649.84,803.25,-682.64,-2780.19,687.63,3165.4,-2.36,-86.09,-179.44,6.67,8.66
1A2K,73,-72.17,3060.31,781.38,-893.25,-3147.92,844.61,3636.69,-6.28,-105.99,-185.37,3.77,7.74
1A2K,18,-42.43,635.29,622.11,-525.52,-2665.08,473.84,2713.3,-2.03,-50.51,-184.28,1.76,7.19
1A2K,28,-33.84,971.06,652.97,-267.29,-2812.25,274.55,2934.84,-2.87,-42.47,-193.85,-9.88,5.85
1A2K,49,-56.22,3925.49,565.94,-594.53,-2693.02,559.31,2756.85,-4.44,-69.16,-219.76,-7.56,7.71
1A2K,25,-43.58,1084.79,617.43,-405.54,-2651.67,394.41,2643.87,-5.83,-55.17,-186.34,1.51,6.06
1A2K,8,-33.33,115.6,690.36,-404.87,-3409.57,376.11,3270.32,-1.74,-42.47,-172.97,1.48,6.92
1A2K,43,-55.57,2116.52,798.51,-635.18,-3580.96,631.07,3713.34,-3.36,-79.82,-174.93,-3.78,7.5
1A2K,35,-35.77,932.98,646.77,-267.05,-2521.6,246.31,2795.27,-1.3,-44.54,-195.69,-6.61,6.04
1A2K,42,-70.65,2030.46,776.05,-976.57,-3863.58,968.71,3771.44,-7.21,-104.72,-171.42,11.05,8.13
1A2K,63,-58.83,3346.13,808.32,-682.25,-2491.13,683.17,2905.49,-5.51,-81.2,-171.64,-2.58,7.17
